,id,subtitle,sq_mt_built,n_rooms,n_bathrooms,n_floors,raw_address,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_parking
46,21696,"Los Rosales, Madrid",45.0,2,1.0,0.0,Calle de Juan José Martínez Seco,85000,1889,1,0,1968.0,1,0,0,0,1,0
47,21695,"Los Rosales, Madrid",120.0,3,2.0,0.0,Carretera de Villaverde a Vallecas,298000,2483,0,0,0.0,0,0,1,0,0,1
48,21694,"Los Ángeles, Madrid",74.0,3,1.0,0.0,"Calle la del Soto del Parral, 59",139000,1878,0,0,0.0,1,0,0,0,0,0
49,21693,"Butarque, Madrid",125.0,3,2.0,0.0,"Calle Estefanita, 6",272500,2180,0,0,2004.0,1,0,1,1,0,0
50,21692,"Butarque, Madrid",126.0,4,2.0,0.0,Calle Berrocal,275000,2183,0,0,0.0,1,0,1,1,0,1
51,21691,"Butarque, Madrid",158.0,3,2.0,0.0,"Calle Euskalduna, 14",289000,1829,0,0,2003.0,1,0,1,1,0,1
53,21689,"Los Ángeles, Madrid",108.0,3,2.0,0.0,Calle Alcocer,179000,1657,0,0,1978.0,1,0,0,1,0,0
55,21687,"Los Rosales, Madrid",51.0,2,1.0,0.0,Calle Topacio,89500,1755,1,0,1967.0,1,0,0,1,0,0
56,21686,"Butarque, Madrid",112.0,3,2.0,0.0,"Calle Calcio, 15",289000,2580,0,0,2013.0,1,0,1,0,0,1
57,21685,"Butarque, Madrid",109.0,3,2.0,0.0,"Calle Camas, 2",216278,1984,0,1,0.0,1,0,1,1,0,1
58,21684,"Butarque, Madrid",107.0,3,2.0,0.0,"Calle Camas, 2",207503,1939,0,1,0.0,1,0,1,1,0,1
59,21683,"Butarque, Madrid",76.0,2,2.0,0.0,"Calle Camas, 2",162793,2142,0,1,0.0,1,0,1,0,0,1
60,21682,"Butarque, Madrid",105.0,3,2.0,0.0,"Calle Camas, 2",204999,1952,0,1,0.0,1,0,1,1,0,1
61,21681,"Butarque, Madrid",109.0,3,2.0,0.0,"Calle Camas, 2",220879,2026,0,1,0.0,1,0,1,1,0,1
62,21680,"Butarque, Madrid",108.0,3,2.0,0.0,"Calle Camas, 2",218258,2021,0,1,0.0,1,0,1,1,0,1
63,21679,"Butarque, Madrid",109.0,3,2.0,0.0,"Calle Camas, 2",231855,2127,0,1,0.0,1,0,1,1,0,1
64,21678,"Butarque, Madrid",76.0,2,2.0,0.0,"Calle Camas, 2",163397,2150,0,1,0.0,1,0,1,0,0,1
65,21677,"Butarque, Madrid",76.0,2,2.0,0.0,"Calle Camas, 2",160759,2115,0,1,0.0,1,0,1,0,0,1
66,21676,"Butarque, Madrid",108.0,3,2.0,0.0,"Calle Camas, 2",217169,2011,0,1,0.0,1,0,1,1,0,1
67,21675,"Butarque, Madrid",76.0,2,2.0,0.0,"Calle Camas, 2",165208,2174,0,1,0.0,1,0,1,0,0,1
68,21674,"Butarque, Madrid",109.0,3,2.0,0.0,"Calle Camas, 2",219775,2016,0,1,0.0,1,0,1,1,0,1
69,21673,"Butarque, Madrid",108.0,3,2.0,0.0,"Calle Camas, 2",230817,2137,0,1,0.0,1,0,1,1,0,1
70,21672,"Butarque, Madrid",108.0,3,2.0,0.0,"Calle Camas, 2",213722,1979,0,1,0.0,1,0,1,1,0,1
71,21671,"Butarque, Madrid",111.0,2,2.0,0.0,"Calle Ganados del Salobral , 12",230749,2079,0,1,0.0,1,0,1,1,0,1
72,21670,"Butarque, Madrid",115.0,3,2.0,0.0,"Calle Ganados del Salobral , 12",233789,2033,0,1,0.0,1,0,1,0,0,1
73,21669,"Butarque, Madrid",115.0,3,2.0,0.0,"Calle Ganados del Salobral , 12",230789,2007,0,1,0.0,1,0,1,0,0,1
74,21668,"Butarque, Madrid",117.0,3,2.0,0.0,"Calle Ganados del Salobral , 12",244171,2087,0,1,0.0,1,0,1,1,0,1
75,21667,"Butarque, Madrid",117.0,3,2.0,0.0,"Calle Ganados del Salobral , 12",243468,2081,0,1,0.0,1,0,1,1,0,1
76,21666,"Butarque, Madrid",117.0,3,2.0,0.0,"Calle Ganados del Salobral , 12",244798,2092,0,1,0.0,1,0,1,1,0,1
77,21665,"Butarque, Madrid",118.0,3,2.0,0.0,"Calle Ganados del Salobral , 12",219235,1858,0,1,0.0,1,0,1,0,0,1
78,21664,"Butarque, Madrid",115.0,3,2.0,0.0,"Calle Ganados del Salobral , 12",242789,2111,0,1,0.0,1,0,1,0,0,1
79,21663,"San Andrés, Madrid",97.0,4,1.0,0.0,Calle Parvillas Altas s/n,130000,1340,0,0,1970.0,0,0,0,0,0,0
80,21662,"Butarque, Madrid",106.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",251569,2373,0,1,0.0,1,0,1,1,0,0
81,21661,"Butarque, Madrid",103.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",235402,2285,0,1,0.0,1,0,1,1,0,0
82,21660,"Butarque, Madrid",103.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",235172,2283,0,1,0.0,1,0,1,1,0,0
83,21659,"Butarque, Madrid",103.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",236227,2293,0,1,0.0,1,0,1,1,0,0
84,21658,"Butarque, Madrid",114.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",254710,2234,0,1,0.0,1,0,1,1,0,0
85,21657,"San Andrés, Madrid",150.0,2,1.0,2.0,"Calle Emilia Ballester, Madrid, 15",159000,1060,1,0,1993.0,0,0,0,1,0,1
86,21656,"Butarque, Madrid",140.0,3,3.0,0.0,"Calle Estefanita, 6",272500,1946,0,0,2004.0,1,0,1,1,0,0
87,21655,"Los Rosales, Madrid",58.0,3,1.0,0.0,Calle del Estroncio,85000,1466,0,0,1951.0,1,0,0,0,0,0
88,21654,"San Cristóbal, Madrid",65.0,3,1.0,0.0,Calle Moncada,94000,1446,0,0,0.0,1,0,0,1,0,0
89,21653,"Los Rosales, Madrid",110.0,4,2.0,0.0,Calle de Martinez Oviol,175000,1591,0,0,1978.0,1,0,0,1,1,0
92,21650,"Butarque, Madrid",90.0,1,1.0,0.0,"Calle Ganados del Salobral , 12",183159,2035,0,1,0.0,1,0,1,1,0,1
93,21649,"Los Rosales, Madrid",125.0,3,2.0,0.0,"Calle de la Generosidad, 16",210000,1680,0,0,1996.0,1,0,0,0,0,1
94,21648,"San Andrés, Madrid",58.0,2,1.0,0.0,Calle de Tordegrillos,85000,1466,0,0,1968.0,1,0,0,0,0,0
95,21647,"Los Ángeles, Madrid",92.0,3,1.0,0.0,Avenida de la Verbena de la Paloma,159900,1738,0,0,1962.0,1,0,0,1,0,0
96,21646,"San Andrés, Madrid",70.0,2,1.0,0.0,"Paseo Alberto Palacios, 35",117000,1671,0,0,1975.0,1,0,0,0,0,0
97,21645,"San Andrés, Madrid",54.0,2,1.0,0.0,"Calle Doctor Pérez Domínguez, 2",110000,2037,0,0,1960.0,1,0,0,0,1,0
99,21643,"San Andrés, Madrid",108.0,3,1.0,0.0,Calle de los Cacereños,140000,1296,0,0,1995.0,1,0,0,1,0,0
100,21642,"Los Rosales, Madrid",65.0,2,1.0,0.0,Calle de Campos Ibáñez,106500,1638,0,0,1963.0,1,0,0,1,0,0
101,21641,"Los Rosales, Madrid",102.0,3,2.0,0.0,Calle DIAMANTE,127500,1250,0,0,1964.0,1,0,0,1,0,0
102,21640,"San Andrés, Madrid",80.0,2,1.0,0.0,Calle Transversal Sexta,148000,1850,0,0,1999.0,1,0,0,1,0,1
103,21639,"Butarque, Madrid",108.0,2,1.0,0.0,Calle Canchal,205000,1898,0,0,2002.0,1,0,1,1,0,1
104,21638,"Los Rosales, Madrid",80.0,3,2.0,0.0,Calle Diamante,220000,2750,0,0,2000.0,1,0,1,0,0,1
105,21637,"Los Rosales, Madrid",16.0,3,1.0,0.0,Calle Platino,114000,7125,0,0,1970.0,1,0,0,0,0,0
106,21636,"San Andrés, Madrid",54.0,2,1.0,0.0,Calle Gómez Acebo,89900,1665,0,0,1964.0,1,0,0,1,0,0
107,21635,"Los Rosales, Madrid",70.0,2,2.0,0.0,Calle Pilar Lorengar,210000,3000,0,0,2003.0,1,0,1,0,0,1
108,21634,"San Andrés, Madrid",99.0,2,2.0,0.0,Calle Salsipuedes,145000,1465,0,0,2007.0,1,0,0,0,0,0
109,21633,"Los Rosales, Madrid",123.0,4,2.0,0.0,Avenida de la Felicidad,275000,2236,0,0,0.0,1,0,0,1,0,0
110,21632,"Los Ángeles, Madrid",64.0,3,1.0,0.0,Calle Escoriaza,104000,1625,0,0,0.0,1,0,0,0,0,0
111,21631,"Butarque, Madrid",107.0,3,2.0,0.0,"Calle Camas, 2",228629,2137,0,1,0.0,1,0,1,1,0,1
112,21630,"Butarque, Madrid",76.0,2,2.0,0.0,"Calle Camas, 2",169021,2224,0,1,0.0,1,0,1,0,0,1
113,21629,"Butarque, Madrid",109.0,3,2.0,0.0,"Calle Camas, 2",223022,2046,0,1,0.0,1,0,1,1,0,1
114,21628,"Butarque, Madrid",108.0,3,2.0,0.0,"Calle Camas, 2",220072,2038,0,1,0.0,1,0,1,1,0,1
115,21627,"Butarque, Madrid",103.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",235718,2289,0,1,0.0,1,0,1,1,0,0
116,21626,"Butarque, Madrid",103.0,3,2.0,0.0,"Calle de las Viñas del Rio, 16",245000,2379,0,1,0.0,1,0,1,0,0,1
117,21625,"Butarque, Madrid",143.0,3,2.0,0.0,"Calle de las Viñas del Rio, 16",260000,1818,0,1,0.0,1,0,1,0,0,1
118,21624,"Butarque, Madrid",99.0,3,2.0,0.0,"Calle de las Viñas del Rio, 16",235000,2374,0,1,0.0,1,0,1,0,0,1
119,21623,"Butarque, Madrid",100.0,3,2.0,0.0,"Calle de las Viñas del Rio, 16",235000,2350,0,1,0.0,1,0,1,0,0,1
120,21622,"Butarque, Madrid",176.0,2,2.0,0.0,"Calle de las Viñas del Rio, 16",265000,1506,0,1,0.0,1,0,1,0,0,1
121,21621,"Butarque, Madrid",87.0,2,2.0,0.0,"Calle de las Viñas del Rio, 16",190000,2184,0,1,0.0,1,0,1,0,0,1
122,21620,"Butarque, Madrid",106.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",256115,2416,0,1,0.0,1,0,1,1,0,0
123,21619,"Butarque, Madrid",113.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",261989,2318,0,1,0.0,1,0,1,1,0,0
124,21618,"Butarque, Madrid",115.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",273353,2377,0,1,0.0,1,0,1,1,0,0
125,21617,"Butarque, Madrid",129.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",297621,2307,0,1,0.0,1,0,1,1,0,0
126,21616,"Butarque, Madrid",115.0,3,2.0,0.0,"Calle Arroyo de la Bulera, 31",279778,2433,0,1,0.0,1,0,1,1,0,0
128,21614,"Los Ángeles, Madrid",90.0,3,2.0,0.0,"Calle Anoeta, 59",195000,2167,0,0,1985.0,1,0,0,1,0,0
129,21613,"Los Rosales, Madrid",60.0,2,1.0,0.0,Calle de Sáhara,126900,2115,1,0,0.0,1,0,0,0,0,0
130,21612,"Los Ángeles, Madrid",54.0,2,1.0,0.0,"Calle Alcocer, 39",136400,2526,0,0,0.0,0,0,0,1,0,0
131,21611,"San Andrés, Madrid",80.0,3,1.0,0.0,Calle Nuestra Señora de Begoña s/n,145000,1812,0,0,0.0,1,0,0,1,0,0
132,21610,"San Andrés, Madrid",73.0,2,1.0,0.0,Calle de Tordegrillos,127500,1747,0,0,1999.0,1,0,0,0,0,0
133,21609,"San Andrés, Madrid",122.0,3,2.0,0.0,Calle Transversal Sexta,179000,1467,0,0,1999.0,1,0,0,0,0,1
134,21608,"Butarque, Madrid",98.0,3,2.0,0.0,Villaverde a Perales,266122,2716,0,0,2020.0,1,0,1,1,0,1
135,21607,"Butarque, Madrid",97.0,3,2.0,0.0,villaverde a perales,261989,2701,0,0,2020.0,1,0,1,1,0,1
136,21606,"Butarque, Madrid",111.0,3,2.0,0.0,villaverde a perales,297621,2681,0,0,2020.0,1,0,1,1,0,1
137,21605,"Butarque, Madrid",99.0,3,2.0,0.0,villaverde a perales,251569,2541,0,0,2020.0,1,0,1,1,0,1
139,21603,"San Andrés, Madrid",85.0,3,1.0,0.0,"Paseo de Alberto Palacios, Madrid, 86",138000,1624,0,0,1966.0,1,0,0,1,0,0
140,21602,"Butarque, Madrid",90.0,3,2.0,0.0,"Calle Limonita, 5",225000,2500,0,0,0.0,1,0,1,0,0,1
141,21601,"Los Rosales, Madrid",133.0,2,1.0,0.0,"Calle Flora Tristán, 1",264000,1985,0,0,2003.0,1,0,1,1,1,1
142,21600,"Los Rosales, Madrid",60.0,3,1.0,0.0,EDUARDO MINGUITO,98260,1638,0,0,1960.0,1,0,0,0,0,0
143,21599,"Butarque, Madrid",133.0,3,3.0,0.0,Calle Estefanita,275000,2068,0,0,2004.0,1,0,1,1,0,0
144,21598,"San Andrés, Madrid",85.0,2,1.0,0.0,Calle Emilia Ballester,124000,1459,0,0,1967.0,1,0,0,0,1,0
145,21597,"Los Ángeles, Madrid",59.0,2,2.0,0.0,Calle La Pícara Molinera esquina C/ El Caserío s/n,164513,2788,0,1,0.0,1,0,1,1,0,1
146,21596,"Los Ángeles, Madrid",59.0,2,2.0,0.0,Calle La Pícara Molinera esquina C/ El Caserío s/n,164416,2787,0,1,0.0,1,0,1,1,0,1
147,21595,"Los Ángeles, Madrid",58.0,2,2.0,0.0,Calle La Pícara Molinera esquina C/ El Caserío s/n,165435,2852,0,1,0.0,1,0,1,1,0,1
148,21594,"Los Ángeles, Madrid",79.0,3,2.0,0.0,Calle La Pícara Molinera esquina C/ El Caserío s/n,202629,2565,0,1,0.0,1,0,1,1,0,1
149,21593,"Los Ángeles, Madrid",60.0,2,2.0,0.0,Calle La Pícara Molinera esquina C/ El Caserío s/n,164242,2737,0,1,0.0,1,0,1,1,0,1
150,21592,"Los Rosales, Madrid",121.0,3,2.0,0.0,"Calle María de Echarri, 11",260000,2149,0,0,2001.0,1,0,1,1,1,1
151,21591,"San Andrés, Madrid",126.0,3,2.0,0.0,"Calle San Jenaro esquina Calle Alcocer, 1",294900,2340,0,1,0.0,1,0,1,1,0,1
152,21590,"San Andrés, Madrid",134.0,4,2.0,0.0,"Calle San Jenaro esquina Calle Alcocer, 1",319900,2387,0,1,0.0,1,0,1,1,0,1
153,21589,"San Andrés, Madrid",111.0,3,2.0,0.0,"Calle San Jenaro esquina Calle Alcocer, 1",259900,2341,0,1,0.0,1,0,1,1,0,1
154,21588,"San Andrés, Madrid",122.0,3,2.0,0.0,"Calle San Jenaro esquina Calle Alcocer, 1",285900,2343,0,1,0.0,1,0,1,1,0,1
155,21587,"San Andrés, Madrid",125.0,3,2.0,0.0,"Calle San Jenaro esquina Calle Alcocer, 1",289900,2319,0,1,0.0,1,0,1,1,0,1
156,21586,"San Andrés, Madrid",102.0,2,2.0,0.0,"Calle San Jenaro esquina Calle Alcocer, 1",249900,2450,0,1,0.0,1,0,1,1,0,1
157,21585,"Butarque, Madrid",104.0,3,2.0,0.0,villaverde a perales s/n,273352,2628,0,0,2020.0,1,0,1,1,0,1
158,21584,"San Cristóbal, Madrid",66.0,3,1.0,0.0,Calle MONCADA,104900,1589,0,0,0.0,1,0,0,1,0,0
159,21583,"San Andrés, Madrid",95.0,2,1.0,0.0,Camino Leganés,155000,1632,0,0,1965.0,1,0,0,1,1,0
160,21582,"San Cristóbal, Madrid",74.0,3,1.0,0.0,Calle de Paterna,100000,1351,0,0,1968.0,1,0,0,0,0,0
161,21581,"Butarque, Madrid",97.0,2,1.0,0.0,Calle Euskalduna,210000,2165,0,0,2003.0,1,0,1,1,0,1
162,21580,"San Andrés, Madrid",90.0,2,2.0,0.0,Calle Lenguas,240000,2667,0,0,2004.0,1,0,1,0,0,1
163,21579,"San Andrés, Madrid",130.0,4,2.0,0.0,Calle Huerta de villaverde,257000,1977,0,0,0.0,1,0,1,1,0,0
164,21578,"San Andrés, Madrid",49.0,2,1.0,0.0,Plaza de Gómez Acebo,84000,1714,0,0,1969.0,1,0,0,0,0,0
165,21577,"Los Rosales, Madrid",151.0,3,2.0,0.0,"Calle Augustóbriga, 5",314000,2079,0,0,0.0,1,0,1,0,0,1
166,21576,"San Cristóbal, Madrid",69.0,3,1.0,0.0,Benimamet,107000,1551,0,0,1961.0,1,0,0,1,0,0
167,21575,"Butarque, Madrid",170.0,3,2.0,0.0,"Calle Calcio, 20",325000,1912,0,0,2010.0,1,0,1,1,0,1
168,21574,"Los Rosales, Madrid",48.0,2,1.0,0.0,Calle Eduardo Minguito,89000,1854,0,0,1971.0,1,0,0,0,0,0
169,21573,"Los Rosales, Madrid",98.0,3,2.0,0.0,"Calle Flora Tristán, 10",284900,2907,0,0,2001.0,1,0,1,0,0,1
170,21572,"San Andrés, Madrid",50.0,1,1.0,0.0,"Calle Lenguas, 18 B",135000,2700,0,0,2008.0,1,0,1,0,0,1
171,21571,"San Andrés, Madrid",136.0,3,2.0,0.0,Calle Transversal Sexta,230000,1691,0,0,1999.0,1,0,0,1,0,1
173,21569,"San Andrés, Madrid",95.0,3,1.0,0.0,Camino Leganés,185000,1947,0,0,1975.0,1,0,0,1,0,0
175,21567,"Los Rosales, Madrid",43.0,1,1.0,0.0,Calle Eduardo Minguito,84000,1953,0,0,1971.0,1,0,0,0,0,0
183,21559,"Butarque, Madrid",110.0,3,2.0,0.0,"Calle Calcio, 15",275000,2500,0,0,0.0,1,0,1,0,0,1
184,21558,"San Andrés, Madrid",83.0,3,1.0,0.0,Calle tordegrillos,91500,1102,0,0,1966.0,1,0,0,1,1,0
185,21557,"Los Rosales, Madrid",25.0,0,1.0,0.0,Calle Augustóbriga,129000,5160,0,0,0.0,0,0,1,0,0,1
186,21556,"San Andrés, Madrid",65.0,2,1.0,0.0,Calle Covachuelas,86860,1336,1,0,1982.0,1,0,0,0,0,0
187,21555,"Butarque, Madrid",58.0,3,1.0,0.0,Calle Concepción de la Oliva,105000,1810,0,0,1966.0,1,0,0,0,1,0
188,21554,"Butarque, Madrid",115.0,3,2.0,0.0,Calle de Berrocal,216000,1878,0,0,2001.0,1,0,1,0,0,1
189,21553,"San Andrés, Madrid",82.0,3,1.0,0.0,Paseo DE LAS MORERAS,120000,1463,0,0,1960.0,1,0,0,0,1,0
190,21552,"San Andrés, Madrid",83.0,3,1.0,0.0,Calle Huerta de Villaverde,135000,1627,0,0,1985.0,1,0,0,0,0,0
191,21551,"Butarque, Madrid",90.0,2,1.0,0.0,Calle de Berrocal,212000,2356,0,0,2002.0,1,0,1,0,0,0
192,21550,"San Cristóbal, Madrid",95.0,2,2.0,0.0,GODELLA,184000,1937,0,0,2011.0,1,0,0,0,0,0
193,21549,"San Andrés, Madrid",89.0,3,1.0,0.0,Calle COLONIA BUTANO,160000,1798,0,0,0.0,1,0,0,1,0,0
194,21548,"Los Rosales, Madrid",178.0,4,2.0,0.0,María de Echarri,299990,1685,0,0,0.0,1,0,1,0,1,1
195,21547,"Los Rosales, Madrid",59.0,2,1.0,0.0,Calle Fuente de la Capona,117000,1983,0,0,0.0,1,0,0,1,0,0
196,21546,"Los Ángeles, Madrid",100.0,4,1.0,0.0,Calle de la Alegría de la Huerta,165000,1650,0,0,0.0,1,0,0,0,0,0
197,21545,"San Andrés, Madrid",68.0,3,1.0,0.0,Calle Puerto Lápice,95000,1397,1,0,0.0,1,0,0,1,0,0
200,21542,"San Andrés, Madrid",81.0,3,2.0,0.0,Calle Transversal Sexta,155000,1914,0,0,1999.0,1,0,0,0,0,1
201,21541,"Butarque, Madrid",91.0,2,2.0,0.0,villaverde a perales,228208,2508,0,0,2020.0,1,0,1,1,0,1
202,21540,"Butarque, Madrid",95.0,3,1.0,0.0,Calle Tántalo,100000,1053,1,0,1970.0,1,0,0,0,1,0
204,21538,"San Andrés, Madrid",60.0,2,1.0,0.0,Calle de Juan Peñalver,105000,1750,0,0,1967.0,0,0,0,1,0,0
205,21537,"Los Ángeles, Madrid",80.0,3,1.0,0.0,Calle Alcocer,165000,2062,0,0,1977.0,1,0,0,1,0,0
206,21536,"San Cristóbal, Madrid",60.0,2,1.0,0.0,Rocafort,73000,1217,0,0,1960.0,1,0,0,0,0,0
207,21535,"San Andrés, Madrid",50.0,1,1.0,0.0,Calle Lenguas,159000,3180,0,0,2007.0,1,0,1,0,0,1
209,21533,"Los Ángeles, Madrid",96.0,2,2.0,0.0,Calle de Eduardo Barreiros,210000,2188,0,0,2001.0,1,0,1,1,0,1
210,21532,"Los Rosales, Madrid",71.0,2,2.0,0.0,Calle de Clara Schumann,198000,2789,0,0,2001.0,1,0,1,0,0,0
211,21531,"Los Rosales, Madrid",74.0,2,1.0,0.0,"Calle Diamante, Madrid",139900,1891,0,0,1966.0,1,0,0,0,0,0
212,21530,"San Cristóbal, Madrid",65.0,2,1.0,0.0,Calle Moncada,110000,1692,0,0,1962.0,1,0,0,0,0,0
214,21528,"San Andrés, Madrid",75.0,3,1.0,0.0,Paseo de alberto palacios,103000,1373,0,0,1968.0,1,0,0,1,0,0
215,21527,"Los Rosales, Madrid",63.0,3,1.0,0.0,"Calle Eduardo Minguito, 13",100000,1587,1,0,0.0,0,0,0,0,0,0
217,21525,"San Andrés, Madrid",115.0,3,1.0,0.0,Paseo de Alberto Palacios,154900,1347,0,0,1975.0,1,0,0,1,0,0
218,21524,"San Cristóbal, Madrid",63.0,2,1.0,0.0,Calle Benimamet,82260,1306,0,0,0.0,1,0,0,0,0,0
220,21522,"San Andrés, Madrid",100.0,2,2.0,0.0,"Calle Principal, 16",154900,1549,0,0,0.0,1,0,0,0,0,1
221,21521,"San Andrés, Madrid",90.0,3,2.0,0.0,"Calle Transversal Sexta, 10",155000,1722,0,0,1998.0,1,0,0,1,0,1
222,21520,"San Cristóbal, Madrid",66.0,3,1.0,0.0,Calle de Beniferri,88000,1333,0,0,0.0,1,0,0,0,0,0
223,21519,"Los Ángeles, Madrid",102.0,3,2.0,0.0,"Calle Hermandad de Donantes de Sangre, 1",225000,2206,0,0,0.0,1,0,0,1,0,0
225,21517,"Los Rosales, Madrid",95.0,4,1.0,0.0,BENITA LOPEZ,138000,1453,0,0,0.0,1,0,0,1,0,0
226,21516,"Los Ángeles, Madrid",120.0,3,1.0,0.0,"Avenida VERBENA DE LA PALOMA, 17",195000,1625,0,0,1962.0,1,0,0,0,0,0
227,21515,"Butarque, Madrid",90.0,3,2.0,0.0,"Calle de la Esmaltina, 1",222000,2467,0,0,2001.0,1,0,1,0,0,1
228,21514,"Los Rosales, Madrid",64.0,3,1.0,0.0,"Calle de Sáhara, 83",80500,1258,1,0,0.0,1,0,0,1,0,0
229,21513,"Los Ángeles, Madrid",80.0,3,1.0,0.0,"Calle la Dolorosa, 10",182000,2275,0,0,1974.0,1,0,0,1,0,0
